iter	Logloss
0	0.6416893698
1	0.5977620609
2	0.5599268652
3	0.5280286535
4	0.4998730114
5	0.4760929887
6	0.4553830643
7	0.4377236411
8	0.4203996322
9	0.4054243677
10	0.3925068347
11	0.3812708336
12	0.3712823132
13	0.3626656486
14	0.3540508221
15	0.3465148508
16	0.3397727091
17	0.3338131869
18	0.3286922004
19	0.3240337147
20	0.3199380572
21	0.316367663
22	0.3131914804
23	0.3103782857
24	0.3077356505
25	0.3052760217
26	0.3032175777
27	0.3012432993
28	0.2994511822
29	0.2978728304
30	0.2963929869
31	0.2949370427
32	0.2936173502
33	0.2924075706
34	0.291244293
35	0.290221903
36	0.2892048595
37	0.2883031075
38	0.2874509571
39	0.2866398168
40	0.2858623136
41	0.285145395
42	0.2844582656
43	0.2837905564
44	0.2831225343
45	0.2826017143
46	0.2820695067
47	0.2815559627
48	0.2810817551
49	0.2806313089
50	0.280196421
51	0.2798008963
52	0.2794225425
53	0.2790834402
54	0.2787323103
55	0.2783902548
56	0.2781059333
57	0.2778081827
58	0.2775426459
59	0.2772719835
60	0.2770289222
61	0.2767791264
62	0.2765452348
63	0.2763075079
64	0.2760785811
65	0.2758882887
66	0.2756990132
67	0.2755294137
68	0.2753655434
69	0.2751934846
70	0.27501738
71	0.274857813
72	0.2747048062
73	0.2745765608
74	0.274434678
75	0.2742956554
76	0.2741597439
77	0.2740521096
78	0.2739450639
79	0.2738427834
80	0.273746045
81	0.273655093
82	0.2735591931
83	0.2734655985
84	0.2733806707
85	0.2732875652
86	0.27318937
87	0.2730913188
88	0.2730182626
89	0.2729436549
90	0.2728589778
91	0.2727871563
92	0.2727182483
93	0.2726403922
94	0.2725650028
95	0.2724932058
96	0.2724299547
97	0.2723785018
98	0.2723196169
99	0.2722531672
100	0.2721934801
101	0.2721383561
102	0.2720917308
103	0.2720395016
104	0.2719906537
105	0.2719392069
106	0.2718896207
107	0.2718378687
108	0.2717973636
109	0.2717566476
110	0.2717035962
111	0.2716550181
112	0.2716070757
113	0.2715713685
114	0.2715297776
115	0.2714940987
116	0.2714571835
117	0.2714210702
118	0.2713694927
119	0.2713454454
120	0.2713180146
121	0.2712799727
122	0.2712442855
123	0.271220782
124	0.2711884634
125	0.271152811
126	0.2711235585
127	0.2710955141
128	0.2710652054
129	0.2710431079
130	0.2709838427
131	0.2709540704
132	0.270923715
133	0.2708952707
134	0.2708708198
135	0.2708457956
136	0.2708238757
137	0.2707986634
138	0.2707803813
139	0.2707607371
140	0.2707356241
141	0.2707099967
142	0.2706832637
143	0.2706263647
144	0.2705934815
145	0.2705763318
146	0.2704964918
147	0.2704559594
148	0.270434568
149	0.2704149674
150	0.2703965639
151	0.2703772856
152	0.2703587023
153	0.2703472613
154	0.2703298535
155	0.270311949
156	0.2703003284
157	0.270282567
158	0.2702660352
159	0.2702460672
160	0.2702314745
161	0.2702172336
162	0.2702009682
163	0.2701744986
164	0.2701598466
165	0.2701470226
166	0.2701334115
167	0.2701204566
168	0.27010972
169	0.2700946834
170	0.2700834658
171	0.2700718659
172	0.2700580399
173	0.2700472242
174	0.2700353114
175	0.2700189128
176	0.2700031061
177	0.2699917698
178	0.2699763682
179	0.269960927
180	0.2699367157
181	0.2699256498
182	0.2699030175
183	0.269891027
184	0.2698792237
185	0.2698634245
186	0.2698511429
187	0.269836866
188	0.269803058
189	0.269786963
190	0.2697785829
191	0.2697520037
192	0.2697262115
193	0.2696973477
194	0.2696791658
195	0.2696695859
196	0.2696647573
197	0.269650702
198	0.2696417611
199	0.2696335723
200	0.269625655
201	0.269618448
202	0.269612296
203	0.2695763267
204	0.2695668549
205	0.2695279324
206	0.2695183576
207	0.2695086912
208	0.2694950436
209	0.269485926
210	0.2694760385
211	0.2694508768
212	0.2694393104
213	0.2694326619
214	0.2694216786
215	0.2694112112
216	0.2694036849
217	0.2693873539
218	0.2693636515
219	0.269363603
220	0.2693612353
221	0.2693480067
222	0.2693393652
223	0.2693298234
224	0.2693247046
225	0.2693174784
226	0.2693071016
227	0.2693062967
228	0.2693039458
229	0.2692968585
230	0.2692873985
231	0.2692807432
232	0.2692626017
233	0.269252466
234	0.2692472267
235	0.2692408089
236	0.2692303701
237	0.2692180078
238	0.2692033328
239	0.2692015118
240	0.2691909294
241	0.2691909216
242	0.269174497
243	0.2691646417
244	0.2691602093
245	0.2691594007
246	0.269154336
247	0.2691423219
248	0.2691396253
249	0.2691286657
250	0.2691218499
251	0.2691146411
252	0.2691077278
253	0.2690984547
254	0.2690877147
255	0.2690684956
256	0.2690603367
257	0.2690535186
258	0.2690453501
259	0.2690387756
260	0.269031803
261	0.269024096
262	0.2690139279
263	0.2690065048
264	0.2689985823
265	0.2689941907
266	0.2689880518
267	0.268981763
268	0.2689719205
269	0.2689665468
270	0.2689590783
271	0.2689488554
272	0.2689424323
273	0.2689368293
274	0.2689316447
275	0.2689141045
276	0.2689064619
277	0.2688992026
278	0.2688921665
279	0.2688691147
280	0.2688583605
281	0.2688503494
282	0.2688340379
283	0.2687958044
284	0.268761525
285	0.2687558737
286	0.268747944
287	0.2687339184
288	0.2687264881
289	0.2687200103
290	0.2687132564
291	0.2686997693
292	0.2686756946
293	0.2686684254
294	0.268651581
295	0.2686442214
296	0.268635637
297	0.2686275442
298	0.2686210103
299	0.2686050539
300	0.2685992338
301	0.2685935576
302	0.2685798039
303	0.2685717144
304	0.2685656902
305	0.2685574628
306	0.2685307636
307	0.2685098118
308	0.2685064355
309	0.2685020523
310	0.2684899526
311	0.268477774
312	0.2684662145
313	0.2684570473
314	0.2684448389
315	0.2684367864
316	0.2684242216
317	0.2684159406
318	0.2683854713
319	0.2683812151
320	0.2683725544
321	0.2683684636
322	0.2683616578
323	0.2683501695
324	0.2683450675
325	0.2683360768
326	0.2683327824
327	0.2683250242
328	0.2683176186
329	0.2683073647
330	0.268300114
331	0.2682754974
332	0.2682676187
333	0.2682617826
334	0.2682529523
335	0.268243083
336	0.2682429665
337	0.2682149833
338	0.2682069357
339	0.2681963422
340	0.2681759587
341	0.2681553981
342	0.2681504845
343	0.2681446225
344	0.2681378278
345	0.2681303243
346	0.2681262498
347	0.2680839933
348	0.2680766381
349	0.2680709676
350	0.2680531911
351	0.2680424839
352	0.2680246106
353	0.2680198088
354	0.2680109889
355	0.2680048088
356	0.2679969098
357	0.2679791071
358	0.2679734335
359	0.2679414458
360	0.2679327444
361	0.2679276987
362	0.2679216201
363	0.2679173856
364	0.2679078265
365	0.2679052146
366	0.2678989942
367	0.2678761794
368	0.2678695204
369	0.2678625142
370	0.2678527832
371	0.267841551
372	0.2678283055
373	0.267822013
374	0.2677943042
375	0.2677871798
376	0.2677783502
377	0.2677684928
378	0.2677531718
379	0.2677485893
380	0.2677411468
381	0.2677306465
382	0.2677201756
383	0.2677127039
384	0.2677042419
385	0.2677017319
386	0.2676964528
387	0.2676915377
388	0.2676854363
389	0.2676784714
390	0.2676769471
391	0.2676724412
392	0.2676636426
393	0.2676612472
394	0.2676516917
395	0.2676406396
396	0.2676325673
397	0.2676278561
398	0.2676197046
399	0.2676142434
400	0.2676000197
401	0.2675949889
402	0.2675832634
403	0.2675733832
404	0.2675693373
405	0.2675455183
406	0.2675363362
407	0.2675261222
408	0.2675230262
409	0.2675148438
410	0.2675050869
411	0.2674976378
412	0.2674877887
413	0.2674788183
414	0.2674580512
415	0.2674503985
416	0.2674433538
417	0.2674364785
418	0.2674245451
419	0.2674176432
420	0.2674147841
421	0.2673967101
422	0.2673920733
423	0.267379366
424	0.2673719133
425	0.2673659091
426	0.2673579439
427	0.2673503977
428	0.2673381023
429	0.2673299043
430	0.2673278348
431	0.2673249469
