iter	Passed	Remaining
0	126	142099
1	234	132058
2	331	124221
3	476	133778
4	602	135276
5	685	128089
6	785	125661
7	874	122378
8	955	118730
9	1036	115791
10	1120	113658
11	1204	111895
12	1291	110679
13	1395	110949
14	1476	109434
15	1587	110261
16	1679	109686
17	1779	109645
18	1880	109642
19	1964	108711
20	2080	109578
21	2169	108982
22	2251	108068
23	2327	106951
24	2401	105855
25	2485	105238
26	2578	105058
27	2663	104538
28	2740	103751
29	2829	103480
30	2915	103063
31	3005	102834
32	3086	102328
33	3170	101921
34	3237	101006
35	3313	100424
36	3394	100010
37	3480	99740
38	3568	99549
39	3660	99484
40	3740	99068
41	3830	98944
42	3917	98767
43	3997	98387
44	4081	98127
45	4173	98068
46	4247	97591
47	4330	97352
48	4412	97069
49	4494	96820
50	4587	96788
51	4685	96864
52	4789	97046
53	4878	96946
54	4972	96918
55	5053	96644
56	5128	96269
57	5206	95965
58	5306	96065
59	5379	95659
60	5465	95505
61	5535	95086
62	5635	95171
63	5732	95216
64	5826	95193
65	5906	94958
66	5995	94847
67	6085	94773
68	6166	94553
69	6261	94554
70	6344	94359
71	6418	94052
72	6512	94026
73	6588	93758
74	6678	93680
75	6770	93623
76	6863	93599
77	6958	93586
78	7044	93454
79	7138	93425
80	7217	93198
81	7295	92970
82	7386	92908
83	7482	92903
84	7575	92868
85	7672	92877
86	7779	93000
87	7883	93074
88	7964	92893
89	8051	92768
90	8140	92671
91	8218	92460
92	8318	92487
93	8399	92309
94	8494	92276
95	8585	92205
96	8682	92192
97	8771	92096
98	8868	92091
99	8970	92125
100	9059	92025
101	9154	91993
102	9253	91999
103	9343	91909
104	9439	91878
105	9527	91766
106	9631	91816
107	9721	91726
108	9803	91563
109	9903	91559
110	9996	91501
111	10072	91282
112	10165	91223
113	10267	91237
114	10366	91228
115	10463	91193
116	10547	91051
117	10647	91047
118	10765	91188
119	10853	91076
120	10949	91038
121	11031	90875
122	11114	90726
123	11195	90559
124	11321	90751
125	11425	90769
126	11543	90896
127	11638	90836
128	11725	90710
129	11821	90660
130	11956	90907
131	12052	90849
132	12150	90805
133	12240	90705
134	12334	90634
135	12425	90541
136	12513	90428
137	12627	90493
138	12759	90690
139	12879	90802
140	12990	90839
141	13106	90915
142	13207	90881
143	13316	90902
144	13431	90961
145	13531	90918
146	13635	90901
147	13810	91355
148	13944	91528
149	14038	91436
150	14158	91515
151	14283	91624
152	14406	91709
153	14508	91665
154	14626	91721
155	14755	91842
156	14854	91777
157	14964	91777
158	15087	91851
159	15221	91993
160	15344	92067
161	15448	92023
162	15554	91993
163	15679	92067
164	15780	92007
165	15867	91858
166	15972	91818
167	16071	91741
168	16181	91726
169	16308	91809
170	16388	91624
171	16479	91498
172	16574	91397
173	16670	91304
174	16766	91209
175	16855	91079
176	16947	90961
177	17034	90820
178	17142	90789
179	17241	90708
180	17333	90595
181	17431	90510
182	17547	90520
183	17661	90514
184	17753	90396
185	17848	90298
186	17940	90183
187	18059	90202
188	18156	90109
189	18268	90091
190	18371	90028
191	18510	90143
192	18605	90041
193	18710	89984
194	18815	89927
195	18935	89944
196	19008	89733
197	19106	89648
198	19222	89638
199	19317	89537
200	19401	89382
201	19506	89324
202	19603	89227
203	19710	89181
204	19804	89072
205	19894	88945
206	19999	88885
207	20109	88849
208	20197	88716
209	20295	88621
210	20400	88562
211	20494	88454
212	20601	88401
213	20697	88303
214	20788	88183
215	20892	88117
216	20973	87954
217	21082	87907
218	21168	87766
219	21233	87538
220	21319	87399
221	21423	87333
222	21506	87183
223	21630	87196
224	21713	87048
225	21803	86923
226	21909	86864
227	21961	86592
228	22051	86471
229	22142	86353
230	22236	86249
231	22324	86124
232	22438	86093
233	22546	86041
234	22629	85895
235	22729	85814
236	22842	85778
237	22950	85728
238	23042	85612
239	23116	85435
240	23205	85313
241	23259	85058
242	23349	84942
243	23445	84846
244	23539	84743
245	23586	84470
246	23663	84306
247	23757	84203
248	23845	84080
249	23925	83930
250	24020	83833
251	24108	83709
252	24204	83615
253	24302	83528
254	24427	83533
255	24548	83523
256	24641	83415
257	24744	83344
258	24861	83319
259	24969	83263
260	25066	83171
261	25163	83077
262	25272	83023
263	25367	82923
264	25477	82874
265	25569	82764
266	25654	82631
267	25765	82585
268	25852	82457
269	25943	82346
270	26053	82293
271	26162	82238
272	26249	82112
273	26349	82029
274	26433	81896
275	26528	81795
276	26633	81726
277	26731	81638
278	26847	81602
279	26949	81521
280	27039	81408
281	27136	81313
282	27238	81234
283	27369	81239
284	27501	81250
285	27611	81191
286	27759	81247
287	27865	81178
288	27980	81134
289	28099	81101
290	28218	81066
291	28333	81022
292	28468	81033
293	28612	81067
294	28736	81046
295	28854	81008
296	28966	80950
297	29091	80928
298	29209	80886
299	29323	80835
300	29455	80832
301	29585	80821
302	29698	80765
303	29828	80752
304	29928	80659
305	30040	80599
306	30154	80544
307	30277	80509
308	30388	80446
309	30486	80346
310	30598	80283
311	30704	80206
312	30828	80175
313	30947	80128
314	31072	80098
315	31186	80038
316	31307	79997
317	31412	79913
318	31525	79852
319	31647	79811
320	31750	79721
321	31840	79602
322	31945	79517
323	32056	79449
324	32165	79375
325	32267	79283
326	32366	79184
327	32467	79090
328	32593	79055
329	32682	78933
330	32808	78900
331	32900	78782
332	33005	78697
333	33103	78597
334	33229	78559
335	33337	78483
336	33422	78349
337	33536	78285
338	33637	78190
339	33754	78130
340	33865	78058
341	33976	77987
342	34062	77856
343	34178	77796
344	34299	77745
345	34424	77702
346	34524	77606
347	34645	77553
348	34753	77474
349	34853	77375
350	34962	77296
351	35057	77186
352	35153	77078
353	35258	76991
354	35410	77004
355	35511	76908
356	35617	76822
357	35727	76744
358	35830	76651
359	35933	76557
360	36050	76494
361	36155	76406
362	36252	76299
363	36350	76195
364	36451	76098
365	36542	75981
366	36646	75888
367	36762	75823
368	36884	75767
369	37002	75705
370	37085	75571
371	37204	75509
372	37317	75436
373	37438	75378
374	37537	75275
375	37649	75199
376	37753	75107
377	37865	75028
378	37969	74937
379	38072	74842
380	38191	74778
381	38306	74707
382	38405	74605
383	38514	74520
384	38633	74457
385	38739	74367
386	38832	74253
387	38917	74124
388	39031	74048
389	39153	73989
390	39249	73881
391	39347	73777
392	39459	73697
393	39564	73606
394	39676	73527
395	39786	73444
396	39871	73315
397	39979	73228
398	40088	73143
399	40184	73035
400	40276	72920
401	40381	72827
402	40494	72749
403	40590	72640
404	40700	72557
405	40797	72450
406	40912	72375
407	41004	72261
408	41112	72172
409	41225	72093
410	41334	72009
411	41440	71918
412	41535	71806
413	41637	71709
414	41736	71605
415	41844	71518
416	41942	71413
417	42040	71308
418	42148	71219
419	42255	71129
420	42355	71027
421	42455	70927
422	42556	70826
423	42648	70712
424	42789	70678
425	42881	70562
426	42994	70483
427	43115	70414
428	43227	70332
429	43331	70237
430	43424	70123
431	43537	70042
432	43645	69953
433	43743	69848
434	43850	69756
435	43940	69639
436	44073	69589
437	44178	69495
438	44268	69376
439	44372	69282
440	44479	69190
441	44580	69089
442	44676	68980
443	44773	68874
444	44878	68780
445	44969	68663
446	45052	68536
447	45152	68433
448	45245	68322
449	45380	68272
450	45518	68227
451	45604	68103
452	45703	68000
453	45803	67897
454	45877	67757
455	45950	67615
456	46075	67550
457	46182	67458
458	46288	67365
459	46398	67277
460	46496	67173
461	46579	67046
462	46686	66954
463	46796	66866
464	46910	66784
465	47009	66681
466	47124	66599
467	47267	66557
468	47372	66462
469	47521	66429
470	47644	66358
471	47762	66280
472	47874	66193
473	47962	66075
474	48052	65958
475	48161	65867
476	48309	65830
477	48433	65759
478	48542	65669
479	48655	65583
480	48789	65526
481	48896	65432
482	48983	65311
483	49080	65203
484	49187	65109
485	49288	65008
486	49429	64958
487	49563	64899
488	49671	64806
489	49756	64683
490	49885	64617
491	50001	64534
492	50119	64453
493	50226	64358
494	50403	64353
495	50535	64289
496	50623	64170
497	50714	64055
498	50830	63970
499	50969	63916
500	51094	63842
501	51184	63725
502	51313	63656
503	51438	63583
504	51544	63486
505	51645	63382
506	51747	63281
507	51863	63195
508	51940	63063
509	52041	62959
510	52139	62853
511	52243	62752
512	52339	62644
513	52466	62572
514	52591	62497
515	52704	62407
516	52824	62327
517	52935	62235
518	53063	62163
519	53214	62118
520	53323	62023
521	53424	61919
522	53521	61810
523	53624	61708
524	53717	61595
525	53822	61496
526	53929	61400
527	54037	61303
528	54133	61193
529	54248	61106
530	54369	61024
531	54473	60923
532	54588	60835
533	54693	60736
534	54788	60626
535	54899	60533
536	55007	60436
537	55092	60315
538	55191	60208
539	55267	60077
540	55375	59981
541	55484	59885
542	55588	59786
543	55683	59675
544	55768	59554
545	55873	59454
546	55988	59366
547	56086	59259
548	56184	59151
549	56295	59058
